"eov","period","cell","n","sp","es"
"fish",1960,"834cc6fffffffff",11,11,NA
"fish",1960,"836d20fffffffff",1,1,NA
"fish",1960,"836735fffffffff",6,5,NA
"fish",1960,"834d72fffffffff",1,1,NA
"fish",1960,"834d8cfffffffff",2,1,NA
"fish",1960,"83456bfffffffff",5,4,NA
"fish",1960,"832adbfffffffff",1,1,NA
"fish",1960,"834d33fffffffff",4,2,NA
"fish",1960,"83442efffffffff",2,1,NA
"fish",1960,"836614fffffffff",3,3,NA
"fish",1960,"836775fffffffff",2,2,NA
"fish",1960,"834451fffffffff",7,2,NA
"fish",1960,"834432fffffffff",1,1,NA
"fish",1960,"834580fffffffff",1,1,NA
"fish",1960,"834898fffffffff",2,1,NA
"fish",1960,"836790fffffffff",1,1,NA
"fish",1960,"834ca8fffffffff",1,1,NA
"fish",1960,"836c32fffffffff",1,1,NA
"fish",1960,"834da4fffffffff",10,1,NA
"fish",1960,"83448afffffffff",1,1,NA
"fish",1960,"834452fffffffff",94,35,22.5940132248407
"fish",1960,"8344a5fffffffff",277,163,43.9757110747939
"fish",1960,"8344aefffffffff",132,56,30.5570715699499
"fish",1960,"83456dfffffffff",26,26,NA
"fish",1960,"8366a1fffffffff",172,87,38.6363628298651
"fish",1960,"836746fffffffff",118,77,41.0508786984379
"fish",1960,"836783fffffffff",419,144,40.6847995287827
"fish",1960,"83679bfffffffff",596,224,43.8323770080214
"fish",1960,"834c83fffffffff",27,21,NA
"fish",1960,"834ce8fffffffff",114,58,34.8788737452663
"fish",1960,"8366a6fffffffff",142,86,40.1589788913156
"fish",1960,"83670bfffffffff",32,19,NA
"fish",1960,"835e64fffffffff",56,43,39.1031321927548
"fish",1960,"83440efffffffff",27,24,NA
"fish",1960,"834421fffffffff",17,15,NA
"fish",1960,"83446cfffffffff",8,6,NA
"fish",1960,"836622fffffffff",135,86,39.841476900024
"fish",1960,"8366b6fffffffff",187,110,42.4022992622148
"fish",1960,"834c9dfffffffff",33,22,NA
"fish",1960,"835e41fffffffff",10,5,NA
"fish",1960,"834456fffffffff",67,57,43.8074487701363
"fish",1960,"8344a8fffffffff",200,105,34.6666340732624
"fish",1960,"83679efffffffff",23,23,NA
"fish",1960,"836625fffffffff",91,69,42.529312136056
"fish",1960,"835e49fffffffff",11,9,NA
"fish",1960,"834418fffffffff",8,8,NA
"fish",1960,"8367b6fffffffff",22,14,NA
"fish",1960,"834565fffffffff",4,3,NA
"fish",1960,"836630fffffffff",13,13,NA
"fish",1960,"834cebfffffffff",12,11,NA
"fish",1960,"834d5bfffffffff",15,6,NA
"fish",1960,"8344a4fffffffff",60,44,38.5497349451948
"fish",1960,"834480fffffffff",20,2,NA
"fish",1960,"835e60fffffffff",11,9,NA
"fish",1960,"836752fffffffff",20,13,NA
"fish",1960,"83442dfffffffff",8,8,NA
"fish",1960,"8344b4fffffffff",8,5,NA
"fish",1960,"836d74fffffffff",10,7,NA
"fish",1960,"834d8bfffffffff",2,1,NA
"fish",1960,"834445fffffffff",17,5,NA
"fish",1960,"8344e1fffffffff",11,3,NA
"fish",1960,"835e69fffffffff",4,4,NA
"fish",1960,"834464fffffffff",12,10,NA
"fish",1960,"834d9afffffffff",2,2,NA
"fish",1960,"835e74fffffffff",18,12,NA
"fish",1960,"83676afffffffff",1,1,NA
"fish",1960,"836633fffffffff",5,5,NA
"fish",1960,"83670efffffffff",1,1,NA
"fish",1960,"834c9bfffffffff",4,3,NA
"fish",1960,"834cc9fffffffff",1,1,NA
"fish",1960,"834cc5fffffffff",7,7,NA
"fish",1960,"836710fffffffff",3,3,NA
"fish",1960,"8345b3fffffffff",4,1,NA
"fish",1960,"834ca3fffffffff",2,1,NA
"fish",1960,"834ca5fffffffff",82,1,1
"fish",1960,"83676cfffffffff",1,1,NA
"fish",1960,"834da2fffffffff",2,2,NA
"fish",1960,"835e70fffffffff",2,2,NA
"fish",1960,"834435fffffffff",1,1,NA
"fish",1960,"834513fffffffff",1,1,NA
"fish",1960,"834ca6fffffffff",3,3,NA
"fish",1960,"8344acfffffffff",1,1,NA
"fish",1960,"8367a2fffffffff",1,1,NA
"fish",1960,"834d9bfffffffff",1,1,NA
"fish",1960,"834c25fffffffff",1,1,NA
"fish",1960,"8345aefffffffff",4,1,NA
"fish",1960,"836712fffffffff",1,1,NA
"fish",1960,"834d8efffffffff",2,1,NA
"fish",1960,"834455fffffffff",466,99,32.8147230396084
"fish",1960,"834471fffffffff",143,60,33.5266442994709
"fish",1960,"8344a1fffffffff",180,114,42.7833435705779
"fish",1960,"835e73fffffffff",440,121,38.9920727794594
"fish",1960,"834416fffffffff",191,111,41.16719347901
"fish",1960,"834472fffffffff",176,113,42.5839335199847
"fish",1960,"836743fffffffff",24,20,NA
"fish",1960,"836766fffffffff",1,1,NA
"fish",1960,"8367a3fffffffff",38,35,NA
"fish",1960,"834c32fffffffff",3,2,NA
"fish",1960,"8344e5fffffffff",226,93,36.1753605586288
"fish",1960,"8367a4fffffffff",19,16,NA
"fish",1960,"834446fffffffff",238,43,24.967874607312
"fish",1960,"835e5dfffffffff",71,32,25.3476797455833
"fish",1960,"835e71fffffffff",34,31,NA
"fish",1960,"834408fffffffff",51,32,31.5490196078431
"fish",1960,"834892fffffffff",53,33,31.852471612738
"fish",1960,"834d53fffffffff",13,6,NA
"fish",1960,"83452cfffffffff",98,12,10.9542279058442
"fish",1960,"83454dfffffffff",22,18,NA
"fish",1960,"8344e4fffffffff",84,38,28.727832441679
"fish",1960,"836613fffffffff",20,8,NA
"fish",1960,"83446afffffffff",40,7,NA
"fish",1960,"834484fffffffff",19,9,NA
"fish",1960,"834cedfffffffff",30,14,NA
"fish",1960,"83446dfffffffff",65,8,7.46714741912194
"fish",1960,"836d24fffffffff",17,15,NA
"fish",1960,"834d1cfffffffff",1,1,NA
"fish",1960,"8348b6fffffffff",14,13,NA
"fish",1960,"835e45fffffffff",24,15,NA
"fish",1960,"83670dfffffffff",3,3,NA
"fish",1960,"836611fffffffff",6,5,NA
"fish",1960,"834c36fffffffff",6,1,NA
"fish",1960,"834499fffffffff",2,2,NA
"fish",1960,"834c92fffffffff",2,2,NA
"fish",1960,"836634fffffffff",7,6,NA
"fish",1960,"83670cfffffffff",3,3,NA
"fish",1960,"83455dfffffffff",1,1,NA
"fish",1960,"834574fffffffff",7,7,NA
"fish",1960,"836d49fffffffff",1,1,NA
"fish",1960,"836760fffffffff",5,4,NA
"fish",1960,"834d32fffffffff",8,3,NA
"fish",1960,"834ce2fffffffff",10,4,NA
"fish",1960,"834593fffffffff",1,1,NA
"fish",1960,"8345a9fffffffff",4,3,NA
"fish",1960,"836709fffffffff",1,1,NA
"fish",1960,"834552fffffffff",1,1,NA
"fish",1960,"834c82fffffffff",1,1,NA
"fish",1960,"836772fffffffff",1,1,NA
"fish",1960,"836c24fffffffff",1,1,NA
"fish",1960,"836c35fffffffff",1,1,NA
"fish",1960,"83442bfffffffff",1,1,NA
"fish",1960,"834519fffffffff",73,55,40.9581269963769
"fish",1960,"836754fffffffff",33,27,NA
"fish",1960,"8367a6fffffffff",24,20,NA
"fish",1960,"835e75fffffffff",172,95,41.2864357440277
"fish",1960,"834522fffffffff",28,21,NA
"fish",1960,"836631fffffffff",116,96,45.364100669741
"fish",1960,"836d6bfffffffff",151,127,47.3306517326841
"fish",1960,"834c8afffffffff",1,1,NA
"fish",1960,"834ceefffffffff",15,12,NA
"fish",1960,"834d80fffffffff",4,2,NA
"fish",1960,"8344b2fffffffff",5,5,NA
"fish",1960,"834409fffffffff",220,126,41.9355880409868
"fish",1960,"834415fffffffff",94,48,33.5620475622063
"fish",1960,"836730fffffffff",2,2,NA
"fish",1960,"836740fffffffff",25,24,NA
"fish",1960,"8367b1fffffffff",55,53,48.3501683501685
"fish",1960,"836773fffffffff",17,13,NA
"fish",1960,"836d62fffffffff",11,11,NA
"fish",1960,"836d2dfffffffff",54,13,12.6995045074956
"fish",1960,"836733fffffffff",3,3,NA
"fish",1960,"836d2bfffffffff",31,20,NA
"fish",1960,"834895fffffffff",70,38,31.0289039128216
"fish",1960,"834411fffffffff",23,14,NA
"fish",1960,"83449cfffffffff",7,4,NA
"fish",1960,"83440dfffffffff",4,4,NA
"fish",1960,"834424fffffffff",12,11,NA
"fish",1960,"834534fffffffff",1,1,NA
"fish",1960,"834549fffffffff",11,11,NA
"fish",1960,"834426fffffffff",4,4,NA
"fish",1960,"834494fffffffff",2,2,NA
"fish",1960,"8344a3fffffffff",53,22,21.3577648766328
"fish",1960,"834526fffffffff",17,17,NA
"fish",1960,"8345b5fffffffff",4,3,NA
"fish",1960,"834cf5fffffffff",2,2,NA
"fish",1960,"834461fffffffff",6,5,NA
"fish",1960,"834483fffffffff",13,11,NA
"fish",1960,"834586fffffffff",10,10,NA
"fish",1960,"834d4bfffffffff",45,35,NA
"fish",1960,"8345a6fffffffff",5,5,NA
"fish",1960,"836d06fffffffff",22,19,NA
"fish",1960,"836d15fffffffff",6,6,NA
"fish",1960,"83450efffffffff",5,4,NA
"fish",1960,"836d11fffffffff",2,2,NA
"fish",1960,"834481fffffffff",4,4,NA
"fish",1960,"834c00fffffffff",1,1,NA
