"res","n_cells","rho","p_value","frac_present"
3,2313,0.00870124017241832,0.67575982300775,0.713791612624297
5,5471,0.104728783102682,8.10135529740135e-15,0.606470480716505
7,5980,0.0408142651927745,0.00159488057685229,0.519230769230769
