"cell","value_from","value_to","delta","pct","n_from","n_to"
"8209a7fffffffff",1.60975609756098,1,-0.609756097560981,-37.8787878787881,82,129
"821827fffffffff",1,1,0,0,50,427
"82182ffffffffff",2.61835726553551,1.60037000557891,-1.0179872599566,-38.8788525292554,298,695
"821877fffffffff",3.2415316392528,4.20046807695425,0.958936437701453,29.5828190010355,251,4755
"821907fffffffff",3.75370913602714,3.21075429864528,-0.542954837381853,-14.464488795115,63,180
"82190ffffffffff",1.10729613733961,1.5201834821048,0.412887344765187,37.2878881124961,466,1498
"82192ffffffffff",1,1.9324989363745,0.9324989363745,93.24989363745,90,825
"821957fffffffff",1,1.33071312496308,0.330713124963077,33.0713124963077,275,525
"82195ffffffffff",4.75997633141942,3.61920333299973,-1.14077299841969,-23.9659384625451,76,1415
"823e6ffffffffff",35.5490131750009,7.86821577935125,-27.6807973956497,-77.8665704709789,267,240
"824407fffffffff",17.231413279496,1.83841659035926,-15.3929966891367,-89.3310167857976,402,1006
"824417fffffffff",19.1416425591795,18.2330719170958,-0.908570642083728,-4.74656571020347,776,10914
"824477fffffffff",18.1264828820023,2.95680764863259,-15.1696752333697,-83.6879130503116,107,302
"82448ffffffffff",16,4.23830254143524,-11.7616974585648,-73.5106091160297,50,605
"8244affffffffff",14.7954201675038,8.87867131194615,-5.91674885555763,-39.9904077651881,86,1573
"8244d7fffffffff",9.47478880228732,4.98039215686275,-4.49439664542458,-47.4353227202234,71,51
"82464ffffffffff",18.3300728004706,8.18662750771789,-10.1434452927527,-55.3377250770781,151,11488
"8246d7fffffffff",13.8627450980392,8.60902556459508,-5.25371953344414,-37.8981182751982,51,3744
"824a27fffffffff",37.4165632981345,24.4742043088652,-12.9423589892692,-34.5899191386038,299,459
"824b77fffffffff",12.6723060609012,42.7738016439082,30.101495583007,237.537630785933,125,185
"824baffffffffff",42.2842121443992,46.7318371248928,4.44762498049359,10.5184057002294,2398,1374
"8253affffffffff",47.8489983287563,33.0463035144329,-14.8026948143233,-30.9362689530477,270,177
"82642ffffffffff",44.6284986121689,49.9999999999999,5.37150138783102,12.0360342715324,151,53
"826627fffffffff",24.6814543752254,13.4667730112887,-11.2146813639366,-45.4376844793784,207,18705
"82679ffffffffff",15.39510064426,23.3452622399762,7.9501615957162,51.6408549669364,105,715
"826947fffffffff",20.9393964585965,18.9308071393997,-2.00858931919686,-9.59239356859422,484,115
"826c5ffffffffff",12.382993187563,16.0258156301041,3.64282244254112,29.4179475621438,124,950
"8294affffffffff",36.0438516569345,1.81967213114754,-34.224179525787,-94.9515047712792,197,61
"829a17fffffffff",16.2356763621859,18.7614035553899,2.52572719320394,15.5566490539719,135,11316
"829b6ffffffffff",48.4649122807014,19.4834206429406,-28.9814916377607,-59.7989148724842,57,206
"829c07fffffffff",33.1600771781826,43.5223821868101,10.3623050086275,31.249339236898,93,5772
"829c27fffffffff",37.1991520878072,27.3625491677611,-9.83660292004604,-26.4430836940238,616,424
"829d0ffffffffff",38.4563466748245,11.5089268000008,-26.9474198748237,-70.0727505466994,455,161
"829d1ffffffffff",15.8315768382434,26.8137023431176,10.9821255048742,69.3684881618698,63,77
"829f07fffffffff",33.6901563970568,32.2667786030716,-1.42337779398519,-4.22490705359128,86,54
"829f0ffffffffff",39.1953818537769,36.2754008881533,-2.91998096562359,-7.4498086956186,147,219
"829f57fffffffff",40.7184723999658,30.2179285870126,-10.5005438129532,-25.7881575463082,522,117
"82a257fffffffff",45.746586300865,48.8928943161545,3.14630801528949,6.87768917793544,178,385
"82a617fffffffff",40.996651110863,14.300985309918,-26.695665800945,-65.1166987487701,715,277
"82a627fffffffff",25.230813422193,2,-23.230813422193,-92.0731846154401,83,120
"82a6a7fffffffff",39.9515755883497,17.0285046743817,-22.923070913968,-57.3771386394398,445,546
"82a727fffffffff",23.0819566517431,8.69869288934008,-14.383263762403,-62.313884301125,66,118
"82ba1ffffffffff",22.8809814758761,33.9810028133709,11.1000213374948,48.5119982689459,55,73
