"eov","cells","records","cells_es_eligible","frac_eligible","median_es"
"fish",4391,5607473,1592,0.362559781370986,26.0854038144095
"hardCorals",975,347292,284,0.291282051282051,13.1499586932477
"mangroves",31,39291,19,0.612903225806452,2.22346748157746
"marineMammals",1902,125340,154,0.0809674027339642,2.04707800734272
"seaTurtles",1903,29926,73,0.0383604834471886,2.95807007746782
"seabirds",1106,284620,173,0.156419529837251,2.11590584658874
"seagrasses",86,12875,24,0.27906976744186,2.22009479957048
