"cell","spue","effort","target"
"8544129bfffffff",0.5,2,1
"854413a7fffffff",0,2,0
"854413d7fffffff",0,2,0
"85441583fffffff",0,4,0
"85441637fffffff",0,2,0
"854450d7fffffff",0,2,0
"85445407fffffff",0,2,0
"85445473fffffff",0,1,0
"854454c7fffffff",0,2,0
"85445543fffffff",0,5,0
"85445547fffffff",0,1,0
"8544554bfffffff",0,3,0
"854455c7fffffff",0,4,0
"85445683fffffff",0,1,0
"85445697fffffff",0,3,0
"85446077fffffff",0,1,0
"8544608ffffffff",0,2,0
"85446117fffffff",0,1,0
"8544616ffffffff",0,2,0
"8544626ffffffff",0,1,0
"8544632ffffffff",0,2,0
"85446373fffffff",0,1,0
"854463abfffffff",0,2,0
"85446537fffffff",0,1,0
"85446c57fffffff",0,1,0
"85446c9bfffffff",0,334,0
"85446e13fffffff",0,24,0
"85447007fffffff",0,5,0
"85447037fffffff",0,2,0
"8544706ffffffff",0,2,0
"8544710bfffffff",0,1,0
"85447153fffffff",0,1,0
"85447157fffffff",0,2,0
"854471c3fffffff",0,2,0
"85447227fffffff",0,2,0
"854473c7fffffff",0,3,0
"8544756ffffffff",0,1,0
"8566b08ffffffff",0,1,0
"8566b6abfffffff",0,1,0
"856c2073fffffff",0,1,0
"856d0097fffffff",0,2,0
"856d032bfffffff",0,1,0
"856d044ffffffff",0,1,0
"856d092ffffffff",0,1,0
"856d0973fffffff",0,1,0
"856d0c3bfffffff",0,1,0
"856d1c93fffffff",0,1,0
"856d2b43fffffff",0,1,0
"856d2b47fffffff",0.666666666666667,6,4
"856d452bfffffff",0,2,0
"856d4997fffffff",0,1,0
"856d5607fffffff",0,1,0
"856d6363fffffff",0,2,0
"856d6a0bfffffff",0,1,0
"856d6a33fffffff",0,1,0
"856d6b03fffffff",0,2,0
"856d70a3fffffff",0,1,0
"856d713bfffffff",0,1,0
"856d71dbfffffff",0,1,0
"856d757bfffffff",0,1,0
"856d761bfffffff",0,1,0
"856d76cffffffff",0.2,5,1
"8544840ffffffff",0,1,0
"8544845bfffffff",0,5,0
"8544846ffffffff",0,2,0
"85448587fffffff",0,1,0
"854485c7fffffff",0,1,0
"854486d7fffffff",0,7,0
"85448887fffffff",0,2,0
"8544a113fffffff",0,674,0
