"cell","value_from","value_to","delta","pct","n_from","n_to"
"821877fffffffff",1,1.08236691198807,0.0823669119880723,8.23669119880723,64,4682
"82190ffffffffff",1.96994535519126,4.15704234906542,2.18709699387416,111.023231589174,61,439
"827b4ffffffffff",9.25248071747174,6.69099690565579,-2.56148381181595,-27.6842923539308,427,276
"82950ffffffffff",7.94867155667453,8.56664790743404,0.617976350759502,7.77458656271417,60,196
"829c07fffffffff",7.00468748715288,5.74269487925437,-1.2619926078985,-18.0164013057412,425,1513
"829c1ffffffffff",6.12171076096844,2.99999984190604,-3.1217109190624,-50.9940936603243,211,65
"829c27fffffffff",7.624875817385,6.25340115343097,-1.37147466395403,-17.9868459080608,305,2056
"829ce7fffffffff",7.55187234083413,5.74209874172144,-1.80977359911269,-23.964568221406,111,5571
"829cf7fffffffff",9.25228048353478,8.43603239081237,-0.816248092722404,-8.82212870843018,119,31220
"829d07fffffffff",7.33516534879447,5.47311295277468,-1.86205239601978,-25.3852818236171,186,412
"829d0ffffffffff",8.01957729424771,6.4188415044501,-1.60073578979762,-19.9603511639671,793,7489
"829d27fffffffff",5.79250025693546,4.49238033077049,-1.30011992616497,-22.4448833577231,332,9123
"829d2ffffffffff",5.66459683508251,3.72443456759997,-1.94016226748254,-34.2506682111345,119,183
