"cell","value_from","value_to","delta","pct","n_from","n_to"
"820107fffffffff",8.1294750254364,20.4329758554006,12.3035008299642,151.344346239673,127,8306
"82010ffffffffff",10.8234001407961,22.0472644385978,11.2238642978017,103.699984771848,73,7019
"820127fffffffff",8.68980400726238,23.3852532721244,14.695449264862,169.111400586026,468,12722
"82012ffffffffff",10.01492314223,22.226767678605,12.211844536375,121.93647782359,538,7382
"820177fffffffff",8.99128856509545,22.9975612220155,14.00627265692,155.776033162732,54,3081
"820247fffffffff",9.55136268343816,10.6250855875677,1.07372290412957,11.241567718828,54,388
"82024ffffffffff",9.3421653290613,14.3802789553937,5.03811362633242,53.9287568660342,182,284
"820297fffffffff",12.7665266004472,18.0476469745032,5.28112037405594,41.3669319724829,67,139
"82029ffffffffff",18.1961196979258,24.5927179963178,6.39659829839198,35.1536393724709,309,165
"8202d7fffffffff",7.63961038961039,22.0391435356434,14.399533146033,188.485176752153,56,75
"8206dffffffffff",24.0310168130679,21.907219568402,-2.12379724466585,-8.83773358899631,383,553
"820807fffffffff",12.0572017616837,26.8967149763528,14.8395132146691,123.075930120264,163,3588
"820827fffffffff",11.8141023730717,21.5492370949239,9.73513472185214,82.4026609422461,107,759
"82082ffffffffff",10.7044721510076,6.97544868968556,-3.72902346132206,-34.8361265153186,316,46891
"820837fffffffff",12.0818628449842,22.3676409616433,10.2857781166592,85.1340414026415,385,7798
"820887fffffffff",11.9549969732172,9.35255227539966,-2.60244469781754,-21.7686771786543,5426,350
"820897fffffffff",10.0796335089681,10.1540001315973,0.0743666226292294,0.737790938163217,4496,24167
"82089ffffffffff",2.91312847664405,11.0837582937685,8.1706298171245,280.476123268588,152,3822
"8208f7fffffffff",7.38584360020038,6.39059262169798,-0.995250978502397,-13.4751158076973,208,161
"820947fffffffff",4.61652772076044,13.4659452399582,8.84941751919771,191.689903201535,81,352
"82094ffffffffff",8.78586443641565,24.7518764673053,15.9660120308897,181.723860485643,728,7635
"820957fffffffff",8.95174064795242,22.0296800463686,13.0779393984162,146.093814742137,140,787
"82095ffffffffff",10.2022894365049,25.4767737837673,15.2744843472623,149.716242048658,499,6535
"82096ffffffffff",6.94033354590978,18.0774753566488,11.137141810739,160.469835304998,105,753
"820987fffffffff",11.6258013475765,25.0020541408967,13.3762527933203,115.056608946004,17076,18948
"820997fffffffff",13.125425564922,18.0068227038668,4.88139713894479,37.1903913880738,41569,72556
"82099ffffffffff",17.5432410846776,27.7868769083853,10.2436358237077,58.3907829474823,14380,21909
"8209a7fffffffff",14.7826228644572,21.7502360514584,6.96761318700122,47.133808735349,47038,37051
"8209affffffffff",13.1010629588688,26.6799082760215,13.5788453171527,103.646897658487,3131,5516
"8209b7fffffffff",12.3275578429999,19.0062201137647,6.67866227076482,54.1766857298282,56024,43531
"820c17fffffffff",27.2964961685698,28.0374661294272,0.740969960857402,2.71452407767478,77,132
"820c47fffffffff",29.0051743090988,26.7675962958822,-2.23757801321655,-7.71440981312992,1110,122
"820c57fffffffff",20.4358731754634,28.2276186982319,7.79174552276848,38.127783705977,393,131
"820c5ffffffffff",22.694398458262,24.8792602627174,2.18486180445537,9.62731754478368,1780,386
"820c97fffffffff",31.8548154399363,25.7130646665536,-6.1417507733827,-19.2804468918153,145,118
"820c9ffffffffff",37.2898665595936,30.0566886629135,-7.23317789668016,-19.3971675525325,74,110
"820cc7fffffffff",21.2962974153725,20.066414362507,-1.22988305286551,-5.77510272737706,90,73
"820ccffffffffff",20.5605435298939,21.8809051488036,1.32036161890977,6.42182254078079,3784,467
"820cd7fffffffff",26.275127319124,15.5538104417323,-10.7213168773917,-40.8040530010614,111,254
"820cdffffffffff",21.9156586670286,20.6619700854366,-1.25368858159197,-5.72051518341131,901,375
"820ceffffffffff",15.2607955302755,20.5050811150782,5.24428558480269,34.3644312277082,9379,640
"820d67fffffffff",17.0815380951282,20.3837931446894,3.30225504956123,19.3323050369982,1400,64
"820e27fffffffff",18.016375297194,21.1060685539726,3.08969325677862,17.1493610996205,349,356
"820e4ffffffffff",20.0632413684334,29.069503629076,9.0062622606426,44.8893680500332,387,3349
"820f0ffffffffff",6.92156862745098,33.7565037910807,26.8349351636297,387.700196415046,51,1906
"820f27fffffffff",17.9531404507336,20.3078378952144,2.35469744448083,13.1157969322555,134,1979
"820f2ffffffffff",11.4678770411963,19.5039831790947,8.0361061378984,70.0749241470772,257,5346
"820f47fffffffff",20.0664452951348,22.5658717893153,2.49942649418045,12.4557511677788,724,2551
"820f4ffffffffff",16.4367850857912,26.6581967090595,10.2214116232683,62.1861974219293,1751,2090
