"cell","value_from","value_to","delta","pct","n_from","n_to"
"820157fffffffff",8.91138781001506,18.5216330608524,9.61024525083738,107.842296348464,899,509
"82015ffffffffff",11.6134621240759,16.2787988917871,4.66533676771127,40.1717999151998,187,517
"820247fffffffff",5.87945836111962,6.14045607698403,0.260997715864414,4.43914557827929,1257,3918
"820257fffffffff",5.59725988744062,6.07553585779658,0.478275970355961,8.54482335953594,731,2492
"82025ffffffffff",6.88679245283019,5.40465329507527,-1.48213915775492,-21.5214727016468,53,400
"820267fffffffff",5.41898039219536,5.80372319966765,0.384742807472293,7.09991141555735,625,1570
"82026ffffffffff",6.82048916531674,5.83901357755212,-0.981475587764613,-14.3901055184659,144,727
"820277fffffffff",7.19528040342908,6.64441375596784,-0.550866647461234,-7.65594412691277,277,639
"82035ffffffffff",6.22752938361682,6.81767320836082,0.590143824744008,9.47637158158642,158,383
"820697fffffffff",5.72973928711302,6.99734257257101,1.26760328545799,22.1232279854165,409,365
"82069ffffffffff",6.48105068326682,6.91896116549088,0.437910482224059,6.75678225067247,147,260
"8206d7fffffffff",9.42637853305297,7.43331121894491,-1.99306731410806,-21.1435102793666,391,1132
"8206dffffffffff",6.13350895266866,8.58471772937069,2.45120877670203,39.9642161708351,79,839
"82074ffffffffff",6.3620897508248,14.3775805544304,8.01549080360563,125.988332726153,429,153
"82075ffffffffff",10.8923244608252,23.9630885146099,13.0707640537847,119.99976773364,981,2839
"820767fffffffff",7.53228208911007,21.3890642857329,13.8567821966228,183.965258240348,1431,214
"820777fffffffff",5.6034790703688,22.6558545344029,17.0523754640341,304.317643554825,209,488
"82082ffffffffff",7.36018755328218,18.9767000845449,11.6165125312627,157.829028773628,69,93
"820897fffffffff",18.638824229144,23.5594954937383,4.92067126459429,26.4001162525061,1092,1623
"82089ffffffffff",19.1706538341052,22.9136146071388,3.74296077303359,19.5244293983064,3847,12159
"820987fffffffff",9.262868705297,4.16878140950549,-5.09408729579151,-54.9947047492797,11678,7144
"820997fffffffff",9.5500785071488,6.9860241701875,-2.5640543369613,-26.8485158005973,28083,2069
"82099ffffffffff",10.1917175630822,16.38026337686,6.18854581377775,60.7213237167668,8781,2247
"8209a7fffffffff",8.47374326751346,11.0588555230537,2.58511225554022,30.5073233154348,133206,2788
"8209affffffffff",8.22697749483362,11.4733206525595,3.24634315772588,39.459730621173,1089,157
"8209b7fffffffff",7.32738760351144,8.3666046246735,1.03921702116206,14.1826402176957,40131,1432
"820e27fffffffff",10.3522617105954,9.13035066839179,-1.22191104220362,-11.8033244943277,148,82
"820e37fffffffff",11.6735303219102,2.83134039304531,-8.84218992886484,-75.7456372239755,172,564
"820e4ffffffffff",11.9540124108835,2.78108126993472,-9.17293114094882,-76.7351649442602,128,7128
"820e87fffffffff",18.3985315461453,23.17841460776,4.77988306161466,25.9796987038137,54,329
"820f2ffffffffff",5.33059585792382,5.5265706218725,0.195974763948679,3.67641384137885,145,2726
"820f37fffffffff",6.95981790925909,5.64231251917392,-1.31750539008517,-18.9301704047804,233,1497
"820f47fffffffff",10.9363387645994,6.26732898968272,-4.66900977491669,-42.6926220503532,333,1753
"820f4ffffffffff",11.275697316932,8.21466594833489,-3.06103136859714,-27.1471580209995,333,4814
"820f57fffffffff",11.3098027832135,6.44862983406338,-4.86117294915007,-42.9819426768896,336,1215
"820f77fffffffff",6.24986116831494,5.76476125502911,-0.485099913285827,-7.76177102533332,222,1560
"821807fffffffff",10.740969000897,20.8279671004029,10.0869980995059,93.9114347938576,13620,400
"82180ffffffffff",9.99813939254514,9.53977856131799,-0.458360831227147,-4.5844613005587,10908,842
"821827fffffffff",9.97231657671785,14.9246319375614,4.95231536084354,49.6606312359317,10150,627
"82182ffffffffff",10.586659903388,17.9747438523778,7.38808394898984,69.7867317587627,19402,1853
"821847fffffffff",9.16116661065323,11.0203212828655,1.85915467221224,20.2938637754966,505,31618
